region,date,soil_cm
Souss-Massa (my region),2017-11-01,40.516
Souss-Massa (my region),2017-12-01,41.085
Souss-Massa (my region),2018-01-01,41.328
Souss-Massa (my region),2018-02-01,41.281
Souss-Massa (my region),2018-03-01,43.542
Souss-Massa (my region),2018-04-01,41.731
Souss-Massa (my region),2018-05-01,41.067
Souss-Massa (my region),2018-06-01,40.594
Souss-Massa (my region),2018-07-01,40.272
Souss-Massa (my region),2018-08-01,40.186
Souss-Massa (my region),2018-09-01,40.398
Souss-Massa (my region),2018-10-01,41.913
Souss-Massa (my region),2018-11-01,43.642
Souss-Massa (my region),2018-12-01,42.562
Souss-Massa (my region),2019-01-01,41.447
Souss-Massa (my region),2019-02-01,41.099
Souss-Massa (my region),2019-03-01,40.987
Souss-Massa (my region),2019-04-01,41.064
Souss-Massa (my region),2019-05-01,40.581
Souss-Massa (my region),2019-06-01,40.355
Souss-Massa (my region),2019-07-01,40.168
Souss-Massa (my region),2019-08-01,40.152
Souss-Massa (my region),2019-09-01,40.3
Souss-Massa (my region),2019-10-01,40.034
Souss-Massa (my region),2019-11-01,39.975
Souss-Massa (my region),2019-12-01,40.622
Souss-Massa (my region),2020-01-01,40.108
Souss-Massa (my region),2020-02-01,39.82
Souss-Massa (my region),2020-03-01,40.029
Souss-Massa (my region),2020-04-01,40.021
Souss-Massa (my region),2020-05-01,39.76
Souss-Massa (my region),2020-06-01,39.571
Souss-Massa (my region),2020-07-01,39.44
Souss-Massa (my region),2020-08-01,39.369
Souss-Massa (my region),2020-09-01,39.425
Souss-Massa (my region),2020-10-01,39.532
Souss-Massa (my region),2020-11-01,39.939
Souss-Massa (my region),2020-12-01,40.706
Souss-Massa (my region),2021-01-01,43.943
Souss-Massa (my region),2021-02-01,43.593
Souss-Massa (my region),2021-03-01,42.877
Souss-Massa (my region),2021-04-01,41.104
Souss-Massa (my region),2021-05-01,40.386
Souss-Massa (my region),2021-06-01,39.865
Souss-Massa (my region),2021-07-01,39.541
Souss-Massa (my region),2021-08-01,39.356
Souss-Massa (my region),2021-09-01,39.334
Souss-Massa (my region),2021-10-01,39.189
Souss-Massa (my region),2021-11-01,39.823
Souss-Massa (my region),2021-12-01,40.039
Souss-Massa (my region),2022-01-01,39.772
Souss-Massa (my region),2022-02-01,39.889
Souss-Massa (my region),2022-03-01,40.166
Souss-Massa (my region),2022-04-01,40.061
Souss-Massa (my region),2022-05-01,39.366
Souss-Massa (my region),2022-06-01,39.188
Souss-Massa (my region),2022-07-01,39.058
Souss-Massa (my region),2022-08-01,38.984
Souss-Massa (my region),2022-09-01,39.055
Souss-Massa (my region),2022-10-01,39.024
Souss-Massa (my region),2022-11-01,38.881
Souss-Massa (my region),2022-12-01,40.488
Souss-Massa (my region),2023-01-01,39.777
Souss-Massa (my region),2023-02-01,41.5
Souss-Massa (my region),2023-03-01,41.187
Souss-Massa (my region),2023-04-01,40.125
Souss-Massa (my region),2023-05-01,39.76
Souss-Massa (my region),2023-06-01,39.643
Souss-Massa (my region),2023-07-01,39.446
Souss-Massa (my region),2023-08-01,39.313
Souss-Massa (my region),2023-09-01,39.224
Souss-Massa (my region),2023-10-01,39.272
Souss-Massa (my region),2023-11-01,39.199
Souss-Massa (my region),2023-12-01,39.094
Souss-Massa (my region),2024-01-01,39.003
Souss-Massa (my region),2024-02-01,39.302
Souss-Massa (my region),2024-03-01,39.24
Souss-Massa (my region),2024-04-01,39.289
Souss-Massa (my region),2024-05-01,38.868
Souss-Massa (my region),2024-06-01,38.798
Souss-Massa (my region),2024-07-01,38.714
Souss-Massa (my region),2024-08-01,38.658
Souss-Massa (my region),2024-09-01,39.304
Souss-Massa (my region),2024-10-01,39.578
Souss-Massa (my region),2024-11-01,39.375
Souss-Massa (my region),2024-12-01,39.127
Souss-Massa (my region),2025-01-01,39.068
Souss-Massa (my region),2025-02-01,38.904
Souss-Massa (my region),2025-03-01,40.269
Souss-Massa (my region),2025-04-01,39.571
Souss-Massa (my region),2025-05-01,39.008
Souss-Massa (my region),2025-06-01,38.825
Souss-Massa (my region),2025-07-01,38.724
Souss-Massa (my region),2025-08-01,38.611
Souss-Massa (my region),2025-09-01,38.562
Souss-Massa (my region),2025-10-01,38.483
Souss-Massa (my region),2025-11-01,38.862
Souss-Massa (my region),2025-12-01,39.981
Souss-Massa (my region),2026-01-01,45.042
Souss-Massa (my region),2026-02-01,43.9
Souss-Massa (my region),2026-03-01,43.474
Souss-Massa (my region),2026-04-01,42.598
Souss-Massa (my region),2026-05-01,40.843
Souss-Massa (my region),2026-06-01,39.998
Oum Er-Rbia (Al Massira),2002-04-01,51.975
Oum Er-Rbia (Al Massira),2002-05-01,49.348
Oum Er-Rbia (Al Massira),2002-06-01,47.801
Oum Er-Rbia (Al Massira),2002-07-01,46.999
Oum Er-Rbia (Al Massira),2002-08-01,46.506
Oum Er-Rbia (Al Massira),2002-09-01,46.136
Oum Er-Rbia (Al Massira),2002-10-01,46.356
Oum Er-Rbia (Al Massira),2002-11-01,50.308
Oum Er-Rbia (Al Massira),2002-12-01,56.723
Oum Er-Rbia (Al Massira),2003-01-01,56.89
Oum Er-Rbia (Al Massira),2003-02-01,55.276
Oum Er-Rbia (Al Massira),2003-03-01,54.805
Oum Er-Rbia (Al Massira),2003-04-01,54.276
Oum Er-Rbia (Al Massira),2003-05-01,51.512
Oum Er-Rbia (Al Massira),2003-06-01,49.559
Oum Er-Rbia (Al Massira),2003-07-01,48.397
Oum Er-Rbia (Al Massira),2003-08-01,47.661
Oum Er-Rbia (Al Massira),2003-09-01,47.105
Oum Er-Rbia (Al Massira),2003-10-01,48.938
Oum Er-Rbia (Al Massira),2003-11-01,52.372
Oum Er-Rbia (Al Massira),2003-12-01,58.517
Oum Er-Rbia (Al Massira),2004-01-01,56.682
Oum Er-Rbia (Al Massira),2004-02-01,54.509
Oum Er-Rbia (Al Massira),2004-03-01,54.116
Oum Er-Rbia (Al Massira),2004-04-01,53.522
Oum Er-Rbia (Al Massira),2004-05-01,53.258
Oum Er-Rbia (Al Massira),2004-06-01,50.663
Oum Er-Rbia (Al Massira),2004-07-01,49.106
Oum Er-Rbia (Al Massira),2004-08-01,48.234
Oum Er-Rbia (Al Massira),2004-09-01,47.686
Oum Er-Rbia (Al Massira),2004-10-01,47.641
Oum Er-Rbia (Al Massira),2004-11-01,50.572
Oum Er-Rbia (Al Massira),2004-12-01,51.445
Oum Er-Rbia (Al Massira),2005-01-01,50.43
Oum Er-Rbia (Al Massira),2005-02-01,49.538
Oum Er-Rbia (Al Massira),2005-03-01,50.984
Oum Er-Rbia (Al Massira),2005-04-01,48.465
Oum Er-Rbia (Al Massira),2005-05-01,47.559
Oum Er-Rbia (Al Massira),2005-06-01,47.143
Oum Er-Rbia (Al Massira),2005-07-01,46.451
Oum Er-Rbia (Al Massira),2005-08-01,46.079
Oum Er-Rbia (Al Massira),2005-09-01,45.742
Oum Er-Rbia (Al Massira),2005-10-01,45.909
Oum Er-Rbia (Al Massira),2005-11-01,46.704
Oum Er-Rbia (Al Massira),2005-12-01,48.56
Oum Er-Rbia (Al Massira),2006-01-01,51.148
Oum Er-Rbia (Al Massira),2006-02-01,54.575
Oum Er-Rbia (Al Massira),2006-03-01,54.231
Oum Er-Rbia (Al Massira),2006-04-01,50.931
Oum Er-Rbia (Al Massira),2006-05-01,49.437
Oum Er-Rbia (Al Massira),2006-06-01,48.164
Oum Er-Rbia (Al Massira),2006-07-01,47.207
Oum Er-Rbia (Al Massira),2006-08-01,46.5
Oum Er-Rbia (Al Massira),2006-09-01,46.101
Oum Er-Rbia (Al Massira),2006-10-01,46.038
Oum Er-Rbia (Al Massira),2006-11-01,46.413
Oum Er-Rbia (Al Massira),2006-12-01,46.355
Oum Er-Rbia (Al Massira),2007-01-01,45.782
Oum Er-Rbia (Al Massira),2007-02-01,47.725
Oum Er-Rbia (Al Massira),2007-03-01,46.187
Oum Er-Rbia (Al Massira),2007-04-01,46.764
Oum Er-Rbia (Al Massira),2007-05-01,46.342
Oum Er-Rbia (Al Massira),2007-06-01,45.352
Oum Er-Rbia (Al Massira),2007-07-01,44.799
Oum Er-Rbia (Al Massira),2007-08-01,44.587
Oum Er-Rbia (Al Massira),2007-09-01,44.345
Oum Er-Rbia (Al Massira),2007-10-01,44.569
Oum Er-Rbia (Al Massira),2007-11-01,44.887
Oum Er-Rbia (Al Massira),2007-12-01,45.793
Oum Er-Rbia (Al Massira),2008-01-01,46.947
Oum Er-Rbia (Al Massira),2008-02-01,45.893
Oum Er-Rbia (Al Massira),2008-03-01,45.302
Oum Er-Rbia (Al Massira),2008-04-01,44.55
Oum Er-Rbia (Al Massira),2008-05-01,44.164
Oum Er-Rbia (Al Massira),2008-06-01,43.855
Oum Er-Rbia (Al Massira),2008-07-01,43.547
Oum Er-Rbia (Al Massira),2008-08-01,43.362
Oum Er-Rbia (Al Massira),2008-09-01,43.945
Oum Er-Rbia (Al Massira),2008-10-01,44.698
Oum Er-Rbia (Al Massira),2008-11-01,49.562
Oum Er-Rbia (Al Massira),2008-12-01,51.262
Oum Er-Rbia (Al Massira),2009-01-01,53.669
Oum Er-Rbia (Al Massira),2009-02-01,59.318
Oum Er-Rbia (Al Massira),2009-03-01,58.177
Oum Er-Rbia (Al Massira),2009-04-01,55.966
Oum Er-Rbia (Al Massira),2009-05-01,52.467
Oum Er-Rbia (Al Massira),2009-06-01,50.48
Oum Er-Rbia (Al Massira),2009-07-01,49.017
Oum Er-Rbia (Al Massira),2009-08-01,48.068
Oum Er-Rbia (Al Massira),2009-09-01,48.289
Oum Er-Rbia (Al Massira),2009-10-01,47.872
Oum Er-Rbia (Al Massira),2009-11-01,47.208
Oum Er-Rbia (Al Massira),2009-12-01,49.52
Oum Er-Rbia (Al Massira),2010-01-01,57.256
Oum Er-Rbia (Al Massira),2010-02-01,61.227
Oum Er-Rbia (Al Massira),2010-03-01,65.249
Oum Er-Rbia (Al Massira),2010-04-01,60.911
Oum Er-Rbia (Al Massira),2010-05-01,57.699
Oum Er-Rbia (Al Massira),2010-06-01,55.266
Oum Er-Rbia (Al Massira),2010-07-01,53.628
Oum Er-Rbia (Al Massira),2010-08-01,52.377
Oum Er-Rbia (Al Massira),2010-09-01,51.485
Oum Er-Rbia (Al Massira),2010-10-01,51.744
Oum Er-Rbia (Al Massira),2010-11-01,51.888
Oum Er-Rbia (Al Massira),2010-12-01,57.315
Oum Er-Rbia (Al Massira),2011-01-01,56.957
Oum Er-Rbia (Al Massira),2011-02-01,57.447
Oum Er-Rbia (Al Massira),2011-03-01,56.459
Oum Er-Rbia (Al Massira),2011-04-01,54.827
Oum Er-Rbia (Al Massira),2011-05-01,56.549
Oum Er-Rbia (Al Massira),2011-06-01,54.236
Oum Er-Rbia (Al Massira),2011-07-01,51.7
Oum Er-Rbia (Al Massira),2011-08-01,50.568
Oum Er-Rbia (Al Massira),2011-09-01,49.851
Oum Er-Rbia (Al Massira),2011-10-01,49.69
Oum Er-Rbia (Al Massira),2011-11-01,52.485
Oum Er-Rbia (Al Massira),2011-12-01,52.731
Oum Er-Rbia (Al Massira),2012-01-01,51.332
Oum Er-Rbia (Al Massira),2012-02-01,50.661
Oum Er-Rbia (Al Massira),2012-03-01,49.647
Oum Er-Rbia (Al Massira),2012-04-01,51.207
Oum Er-Rbia (Al Massira),2012-05-01,49.424
Oum Er-Rbia (Al Massira),2012-06-01,48.416
Oum Er-Rbia (Al Massira),2012-07-01,47.834
Oum Er-Rbia (Al Massira),2012-08-01,47.41
Oum Er-Rbia (Al Massira),2012-09-01,47.21
Oum Er-Rbia (Al Massira),2012-10-01,48.1
Oum Er-Rbia (Al Massira),2012-11-01,54.134
Oum Er-Rbia (Al Massira),2012-12-01,55.595
Oum Er-Rbia (Al Massira),2013-01-01,54.149
Oum Er-Rbia (Al Massira),2013-02-01,53.58
Oum Er-Rbia (Al Massira),2013-03-01,54.904
Oum Er-Rbia (Al Massira),2013-04-01,53.449
Oum Er-Rbia (Al Massira),2013-05-01,50.859
Oum Er-Rbia (Al Massira),2013-06-01,49.414
Oum Er-Rbia (Al Massira),2013-07-01,48.403
Oum Er-Rbia (Al Massira),2013-08-01,47.716
Oum Er-Rbia (Al Massira),2013-09-01,48.687
Oum Er-Rbia (Al Massira),2013-10-01,48.155
Oum Er-Rbia (Al Massira),2013-11-01,48.051
Oum Er-Rbia (Al Massira),2013-12-01,48.191
Oum Er-Rbia (Al Massira),2014-01-01,49.373
Oum Er-Rbia (Al Massira),2014-02-01,52.102
Oum Er-Rbia (Al Massira),2014-03-01,50.212
Oum Er-Rbia (Al Massira),2014-04-01,49.466
Oum Er-Rbia (Al Massira),2014-05-01,47.65
Oum Er-Rbia (Al Massira),2014-06-01,46.881
Oum Er-Rbia (Al Massira),2014-07-01,46.383
Oum Er-Rbia (Al Massira),2014-08-01,45.988
Oum Er-Rbia (Al Massira),2014-09-01,45.896
Oum Er-Rbia (Al Massira),2014-10-01,45.701
Oum Er-Rbia (Al Massira),2014-11-01,48.42
Oum Er-Rbia (Al Massira),2014-12-01,57.821
Oum Er-Rbia (Al Massira),2015-01-01,57.379
Oum Er-Rbia (Al Massira),2015-02-01,57.276
Oum Er-Rbia (Al Massira),2015-03-01,55.126
Oum Er-Rbia (Al Massira),2015-04-01,54.106
Oum Er-Rbia (Al Massira),2015-05-01,51.538
Oum Er-Rbia (Al Massira),2015-06-01,50.605
Oum Er-Rbia (Al Massira),2015-07-01,48.838
Oum Er-Rbia (Al Massira),2015-08-01,48.064
Oum Er-Rbia (Al Massira),2015-09-01,47.487
Oum Er-Rbia (Al Massira),2015-10-01,47.91
Oum Er-Rbia (Al Massira),2015-11-01,48.692
Oum Er-Rbia (Al Massira),2015-12-01,47.326
Oum Er-Rbia (Al Massira),2016-01-01,47.152
Oum Er-Rbia (Al Massira),2016-02-01,47.136
Oum Er-Rbia (Al Massira),2016-03-01,47.81
Oum Er-Rbia (Al Massira),2016-04-01,47.181
Oum Er-Rbia (Al Massira),2016-05-01,48.774
Oum Er-Rbia (Al Massira),2016-06-01,46.767
Oum Er-Rbia (Al Massira),2016-07-01,46.0
Oum Er-Rbia (Al Massira),2016-08-01,45.554
Oum Er-Rbia (Al Massira),2016-09-01,45.262
Oum Er-Rbia (Al Massira),2016-10-01,45.315
Oum Er-Rbia (Al Massira),2016-11-01,45.912
Oum Er-Rbia (Al Massira),2016-12-01,50.718
Oum Er-Rbia (Al Massira),2017-01-01,49.425
Oum Er-Rbia (Al Massira),2017-02-01,50.53
Oum Er-Rbia (Al Massira),2017-03-01,49.753
Oum Er-Rbia (Al Massira),2017-04-01,47.575
Oum Er-Rbia (Al Massira),2017-05-01,46.643
Oum Er-Rbia (Al Massira),2017-06-01,45.854
Oum Er-Rbia (Al Massira),2017-07-01,45.258
Oum Er-Rbia (Al Massira),2017-08-01,44.93
Oum Er-Rbia (Al Massira),2017-09-01,44.607
Oum Er-Rbia (Al Massira),2017-10-01,44.432
Oum Er-Rbia (Al Massira),2017-11-01,44.29
Oum Er-Rbia (Al Massira),2017-12-01,46.686
Oum Er-Rbia (Al Massira),2018-01-01,48.232
Oum Er-Rbia (Al Massira),2018-02-01,49.763
Oum Er-Rbia (Al Massira),2018-03-01,52.832
Oum Er-Rbia (Al Massira),2018-04-01,51.506
Oum Er-Rbia (Al Massira),2018-05-01,51.528
Oum Er-Rbia (Al Massira),2018-06-01,48.848
Oum Er-Rbia (Al Massira),2018-07-01,47.01
Oum Er-Rbia (Al Massira),2018-08-01,45.976
Oum Er-Rbia (Al Massira),2018-09-01,45.812
Oum Er-Rbia (Al Massira),2018-10-01,46.392
Oum Er-Rbia (Al Massira),2018-11-01,51.299
Oum Er-Rbia (Al Massira),2018-12-01,51.472
Oum Er-Rbia (Al Massira),2019-01-01,49.411
Oum Er-Rbia (Al Massira),2019-02-01,48.664
Oum Er-Rbia (Al Massira),2019-03-01,47.357
Oum Er-Rbia (Al Massira),2019-04-01,48.519
Oum Er-Rbia (Al Massira),2019-05-01,46.597
Oum Er-Rbia (Al Massira),2019-06-01,45.466
Oum Er-Rbia (Al Massira),2019-07-01,44.952
Oum Er-Rbia (Al Massira),2019-08-01,44.609
Oum Er-Rbia (Al Massira),2019-09-01,44.41
Oum Er-Rbia (Al Massira),2019-10-01,44.166
Oum Er-Rbia (Al Massira),2019-11-01,44.547
Oum Er-Rbia (Al Massira),2019-12-01,45.961
Oum Er-Rbia (Al Massira),2020-01-01,45.052
Oum Er-Rbia (Al Massira),2020-02-01,44.318
Oum Er-Rbia (Al Massira),2020-03-01,44.451
Oum Er-Rbia (Al Massira),2020-04-01,44.813
Oum Er-Rbia (Al Massira),2020-05-01,44.355
