region,date,lwe_cm
Souss-Massa (my region),2022-09-16,-6.813
Souss-Massa (my region),2022-10-16,-6.124
Souss-Massa (my region),2022-11-16,-6.497
Souss-Massa (my region),2022-12-16,-2.846
Souss-Massa (my region),2023-01-16,-4.049
Souss-Massa (my region),2023-02-15,-3.573
Souss-Massa (my region),2023-03-16,-2.984
Souss-Massa (my region),2023-04-16,-3.998
Souss-Massa (my region),2023-05-16,-2.636
Souss-Massa (my region),2023-06-16,-5.08
Souss-Massa (my region),2023-07-16,-5.633
Souss-Massa (my region),2023-08-16,-6.025
Souss-Massa (my region),2023-09-16,-4.293
Souss-Massa (my region),2023-10-16,-3.143
Souss-Massa (my region),2023-11-16,-3.489
Souss-Massa (my region),2023-12-16,-4.125
Souss-Massa (my region),2024-01-16,-10.141
Souss-Massa (my region),2024-02-15,-5.666
Souss-Massa (my region),2024-03-16,-3.382
Souss-Massa (my region),2024-04-16,-4.823
Souss-Massa (my region),2024-05-16,-3.381
Souss-Massa (my region),2024-06-16,-3.314
Souss-Massa (my region),2024-07-16,-5.44
Souss-Massa (my region),2024-08-16,-3.724
Souss-Massa (my region),2024-09-16,-9.977
Souss-Massa (my region),2024-10-16,-6.974
Souss-Massa (my region),2024-11-16,-4.229
Souss-Massa (my region),2024-12-16,-3.207
Souss-Massa (my region),2025-01-16,-2.758
Souss-Massa (my region),2025-02-15,-5.367
Souss-Massa (my region),2025-03-16,-4.2
Souss-Massa (my region),2025-04-16,-9.182
Souss-Massa (my region),2025-05-16,-6.486
Souss-Massa (my region),2025-06-16,-5.871
Souss-Massa (my region),2025-07-16,-7.238
Souss-Massa (my region),2025-08-16,-7.039
Souss-Massa (my region),2025-09-16,-6.761
Souss-Massa (my region),2025-10-16,-4.714
Souss-Massa (my region),2025-11-16,-5.675
Souss-Massa (my region),2025-12-16,-5.768
Souss-Massa (my region),2026-01-16,-4.105
Souss-Massa (my region),2026-02-15,-6.446
Souss-Massa (my region),2026-03-16,-3.65
Souss-Massa (my region),2026-04-16,-2.542
Souss-Massa (my region),2026-05-16,-3.629
Souss-Massa (my region),2026-06-16,-3.92
Oum Er-Rbia (Al Massira),2002-04-18,1.29
Oum Er-Rbia (Al Massira),2002-05-10,-2.11
Oum Er-Rbia (Al Massira),2002-08-16,-2.182
Oum Er-Rbia (Al Massira),2002-09-16,-0.345
Oum Er-Rbia (Al Massira),2002-10-16,-1.567
Oum Er-Rbia (Al Massira),2002-11-16,0.529
Oum Er-Rbia (Al Massira),2002-12-16,2.797
Oum Er-Rbia (Al Massira),2003-01-16,1.476
Oum Er-Rbia (Al Massira),2003-02-15,2.107
Oum Er-Rbia (Al Massira),2003-03-16,2.479
Oum Er-Rbia (Al Massira),2003-04-16,-0.459
Oum Er-Rbia (Al Massira),2003-05-11,-1.137
Oum Er-Rbia (Al Massira),2003-07-16,-1.655
Oum Er-Rbia (Al Massira),2003-08-16,-2.515
Oum Er-Rbia (Al Massira),2003-09-16,-1.715
Oum Er-Rbia (Al Massira),2003-10-16,-1.09
Oum Er-Rbia (Al Massira),2003-11-16,-0.876
Oum Er-Rbia (Al Massira),2003-12-16,3.884
Oum Er-Rbia (Al Massira),2004-01-07,2.854
Oum Er-Rbia (Al Massira),2004-02-17,1.615
Oum Er-Rbia (Al Massira),2004-03-16,1.051
Oum Er-Rbia (Al Massira),2004-04-16,1.259
Oum Er-Rbia (Al Massira),2004-05-16,1.418
Oum Er-Rbia (Al Massira),2004-06-16,-0.542
Oum Er-Rbia (Al Massira),2004-07-16,1.387
Oum Er-Rbia (Al Massira),2004-08-16,-0.501
Oum Er-Rbia (Al Massira),2004-09-16,-1.669
Oum Er-Rbia (Al Massira),2004-10-16,-3.587
Oum Er-Rbia (Al Massira),2004-11-16,-0.075
Oum Er-Rbia (Al Massira),2004-12-16,1.115
Oum Er-Rbia (Al Massira),2005-01-16,1.555
Oum Er-Rbia (Al Massira),2005-02-15,1.29
